,Age,EdLevel,YearsExp,YearsProExp,PreviousSalary,NumSkills,Employed
15665,1,3,6,5,14676,11,0
15666,0,1,9,3,9075,16,1
15667,1,3,25,25,150000,15,1
15669,0,3,6,3,54306,12,1
15670,1,4,6,0,180000,3,0
15671,1,3,18,10,15852,15,0
15673,0,1,18,12,53957,11,0
15674,0,3,10,8,27923,7,0
15675,0,3,10,6,30096,24,1
15676,0,4,9,4,24084,14,1
15677,1,3,14,9,5028,5,0
15678,0,3,14,9,69000,21,1
15679,0,4,7,2,3012,7,0
15680,0,3,8,6,23037,9,1
15681,0,3,10,7,17796,12,0
15682,0,3,9,4,21996,14,1
15683,1,2,17,15,88092,12,0
15684,0,2,8,6,3600,23,1
15685,0,3,13,8,105000,14,1
15686,0,3,5,3,43104,7,1
15687,1,3,28,21,71715,20,1
15688,0,3,5,1,780,10,0
15689,0,4,12,4,21588,9,0
15690,0,3,14,12,70150,14,0
15691,0,3,6,0,43110,25,1
15692,0,3,9,4,6036,14,0
15693,0,3,5,4,16080,4,0
15694,0,3,15,7,125000,10,1
15695,0,3,14,11,43404,9,0
15696,0,3,9,5,9216,15,1
15697,0,4,7,2,64544,6,0
15698,1,4,10,10,23352,20,1
15699,0,3,7,5,8377,12,1
15700,0,1,21,15,88640,19,1
15701,1,3,21,16,80172,20,1
15702,0,3,17,12,150000,14,1
15703,0,3,11,2,60505,21,1
15704,0,3,10,4,23037,3,0
15705,0,4,18,13,50,10,0
15706,0,4,6,6,5868,5,0
15707,1,1,22,18,37834,25,1
15708,0,3,15,13,23736,18,1
15709,0,2,4,1,41508,14,0
15710,0,1,9,5,15588,11,0
15711,0,3,13,8,16752,9,1
15712,1,4,15,13,35028,7,1
15714,1,4,7,5,32424,11,0
15715,0,3,7,3,3516,18,1
15716,0,4,2,1,9084,4,0
15717,0,3,12,9,15000,8,1
15718,0,3,10,7,20784,16,1
15719,0,3,4,0,2508,12,1
15721,0,3,16,12,58779,9,0
15722,1,4,35,25,71340,10,1
15723,1,4,20,15,86916,18,0
15724,0,4,13,3,190000,12,0
15725,1,1,25,11,45396,14,1
15726,0,3,6,4,5028,7,0
15727,0,3,3,1,6696,14,1
15728,1,5,30,12,70044,5,0
15729,0,3,8,4,65000,28,1
15730,0,3,7,3,3516,13,1
15731,1,3,30,25,46533,6,0
15732,0,3,5,1,8064,7,0
15733,0,3,6,12,79896,8,0
15734,0,3,11,1,34034,10,1
15735,0,1,5,3,27264,5,0
15736,0,3,18,9,73491,10,0
15737,1,4,26,11,81074,23,1
15738,1,4,20,16,61368,5,0
15739,0,1,8,5,19740,19,1
15740,1,5,20,14,56124,4,0
15742,1,3,23,21,8376,13,1
15743,0,1,20,8,51887,18,1
15744,0,3,10,4,49224,12,0
15745,1,1,28,18,13620,14,1
15746,0,3,4,1,11728,9,0
15748,0,2,15,10,51708,14,0
